t1valids;t2valids;t3valids;t4valids;t5valids;t6valids;t7valids;t8valids;t9valids;t1baum;t2baum;t3baum;t4baum;t5baum;t6baum;t7baum;t8baum;t9baum;sex;reg_ling;typ3;wlerlev3;hiseineu3cat;fmedu;id;hr1_kal;hr2_kal;hr3_kal;hr4_kal;hr5_kal;hr6_kal;hr7_kal;hr8_kal;hr9_kal
1;1;1;1;1;1;1;1;1;3;3;5;5;5;3;4;1;1;2;1;2;2;1;1;123;14.50287341;15.76427119;15.88244769;20.34303603;16.42716179;14.62675529;12.55810898;17.29454759;14.99197989
1;1;1;1;1;1;0;0;0;3;3;5;5;5;5;;;;1;2;;2;3;2;124;4.317654707;5.48674877;5.472033429;5.05627351;4.880354037;5.020491805;;;
1;1;1;1;1;1;0;0;0;2;3;5;5;2;5;;;;1;1;2;2;1;1;125;7.046956839;7.257996334;7.49689206;8.21650915;6.176644597;6.552045431;;;
1;1;1;1;1;1;1;1;1;4;4;6;4;8;8;8;1;1;1;1;1;3;1;2;126;10.88864455;10.69854404;10.77982657;10.6038169;10.64290098;10.65001884;10.11065872;9.404602783;8.264757174
1;1;1;1;1;1;1;1;1;3;3;5;5;5;3;1;1;1;2;2;;2;1;1;127;3.402694447;3.543087496;3.716410046;3.250280305;2.806316299;3.036517734;2.41567961;2.084882553;1.050092997
1;1;1;1;1;0;0;1;0;2;3;5;5;4;;;1;;2;2;2;2;;3;128;3.859422937;4.910948225;3.322245172;2.862150639;2.866732789;2.991203276;3.540687647;8.03646268;17.87494558
1;1;1;1;1;0;1;0;0;3;3;5;5;1;;7;;;2;2;1;3;3;2;129;4.133461977;3.549235665;3.347523015;2.783518879;2.780079053;2.546669532;2.925491252;3.82079777;6.111136821
1;1;1;1;1;1;1;1;0;3;3;5;1;1;1;1;1;;1;2;2;3;2;2;130;3.481506636;3.375779092;3.055209187;2.585576757;2.691615401;2.407236482;1.973349363;1.424267951;0.797911985
1;0;0;1;1;0;0;0;0;3;;;5;5;;;;;1;2;2;1;2;3;131;7.082033917;10.16583477;14.6393598;23.07949686;29.70237737;34.928578;93.56670878;192.3784016;120.3244958
1;1;1;0;0;0;0;0;0;2;1;5;;;;;;;2;1;1;3;3;2;132;11.0720364;10.78793785;11.71843937;11.1110398;;;;;
1;1;1;1;1;1;1;0;1;3;3;5;5;8;8;8;;1;2;1;1;2;1;1;133;17.78410657;19.63586835;21.42240229;20.78508653;19.41703012;22.20183861;20.26435729;20.03938678;31.58089427
